# The dang cho duyet — sinh boi /kb-cards
# 4 cot: mat_truoc <TAB> mat_sau <TAB> tags <TAB> file_dich
# Xoa dong nao khong thich, sua truc tiep dong nao can sua.
# Duyet xong: npm run anki:accept
Báo cáo tháng 1 chạy vào tháng 2 ra Bắc 5tr / Nam 3tr; chạy lại y hệt vào tháng 4 ra Nam 8tr, Bắc biến mất. Không có đơn mới. Nguyên nhân?	Dimension là <b>Type 1</b>: <code>KH001</code> chuyển vùng ngày 15/03, giá trị cũ bị ghi đè. Báo cáo lọc theo ngày bán nhưng lấy khu vực ở <b>trạng thái hiện tại</b>.<br><small>case-studies/bao-cao-qua-khu-tu-doi-so.md</small>	case-study scd	data-modeling-basic.tsv
Báo cáo quá khứ tự đổi số — vì sao mọi nghi ngờ ban đầu đều mất thời gian?	Chúng đều hướng vào <b>fact</b> (đơn nạp muộn, ai sửa dữ liệu, lọc ngày sai). Fact không hề đổi — <b>dimension</b> mới là chỗ đổi, và không ai nghĩ dimension ảnh hưởng tới quá khứ.<br><small>case-studies/bao-cao-qua-khu-tu-doi-so.md</small>	case-study scd	data-modeling-basic.tsv
Query "doanh thu tháng 1 theo khu vực" trên dim Type 1 thực chất trả lời câu gì?	<i>"Doanh thu tháng 1, gom theo khu vực <b>hôm nay</b>"</i> — nó trộn hai mốc thời gian: lọc theo thời điểm bán, gom theo trạng thái hiện tại.<br><small>case-studies/bao-cao-qua-khu-tu-doi-so.md</small>	case-study scd	data-modeling-basic.tsv
Báo cáo quá khứ đổi số mà tổng doanh thu toàn hệ thống vẫn đúng 10tr — vì sao?	Tiền không mất đi đâu, chỉ <b>chuyển từ nhóm này sang nhóm khác</b>. Không bất biến nào bị phá, nên không test dựng sẵn nào chạm tới. Tổng đúng, chi tiết sai.<br><small>case-studies/bao-cao-qua-khu-tu-doi-so.md</small>	case-study scd testing	data-modeling-basic.tsv
Phép thử một câu để biết mình có rủi ro "báo cáo quá khứ tự đổi số"?	<i>"Chạy lại báo cáo quý trước vào năm sau, có ra đúng số cũ không?"</i><br>Không trả lời chắc chắn được thì đang có rủi ro.<br><small>case-studies/bao-cao-qua-khu-tu-doi-so.md</small>	case-study scd	data-modeling-basic.tsv
Join <code>fct_don_hang</code> với <code>fct_thanh_toan</code>: tổng đơn 1,5tr thành 2,5tr nhưng tổng thanh toán vẫn đúng. Vì sao chỉ một cột sai?	<code>DH001</code> trả làm 2 lần → dòng đơn hàng lặp 2 lần, <code>sum()</code> cộng 1.000.000 hai lần. Phía "nhiều" không lặp nên tổng của nó vẫn đúng.<br><small>case-studies/join-hai-fact-lam-phong-tong.md</small>	case-study grain fact	data-modeling-basic.tsv
"Fan trap" là gì?	Join một-nhiều rồi <code>sum()</code> ở <b>phía "một"</b> — giá trị bên đó bị lặp theo số dòng bên "nhiều" và tổng phồng lên.<br><small>case-studies/join-hai-fact-lam-phong-tong.md</small>	case-study grain join	data-modeling-basic.tsv
Doanh thu phồng 67% vì join hai fact — vì sao đi tìm "dữ liệu bẩn" là sai hướng?	Dữ liệu sạch hoàn toàn: <code>unique</code> xanh cả hai bảng, <code>relationships</code> xanh, <code>count(distinct ma_don)</code> đúng. <b>Câu query</b> mới sai, mà test dbt chỉ kiểm bảng chứ không kiểm query người dùng.<br><small>case-studies/join-hai-fact-lam-phong-tong.md</small>	case-study grain testing	data-modeling-basic.tsv
Nguyên tắc sửa khi cần ghép hai fact một-nhiều?	<b>Gộp bên "nhiều" về grain của bên "một" trước khi join</b> — dùng CTE cộng <code>sum(so_tien) GROUP BY ma_don</code> rồi mới join.<br><small>case-studies/join-hai-fact-lam-phong-tong.md</small>	case-study grain	data-modeling-basic.tsv
Phép thử rẻ nhất để phát hiện join đã nhân bản dòng?	Đếm số dòng <b>trước và sau join</b>. Tăng lên là đã nhân bản.<br><small>case-studies/join-hai-fact-lam-phong-tong.md</small>	case-study grain join	data-modeling-basic.tsv
