#separator:tab
#html:true
#notetype:Cloze
#deck:KB::Data Modeling
#tags column:3
Bốn bước Kimball: {{c1::chọn quy trình nghiệp vụ}} → {{c2::khai grain}} → {{c3::chọn dimension}} → {{c4::chọn fact}}.	Sai thì gần như luôn sai ở bước 2, nên vòng lặp quay về đó.	design-process kimball
Số đo cộng được theo mọi chiều gọi là {{c1::additive}}; không cộng theo thời gian là {{c2::semi-additive}}; tỉ lệ và phần trăm là {{c3::non-additive}}.		fact design-process
Ba loại fact: {{c1::transaction}} · {{c2::periodic snapshot}} · {{c3::accumulating snapshot}}.		fact kimball
Bộ cột Type 2: <code>khach_sk</code> = {{c1::surrogate key, khoá thật}}, <code>khach_hang_id</code> = {{c2::natural key, lặp lại qua các phiên bản}}, cộng <code>valid_from</code>, <code>valid_to</code>, <code>is_current</code>, {{c3::is_deleted}}.		scd
<code>valid_to</code> của dòng hiện tại đặt là {{c1::'9999-12-31'}}, tuyệt đối không dùng {{c2::NULL}}.	Vì `ngay &lt; NULL` trả NULL chứ không phải true.	scd null
Dimension lookup: <code>on f.khach_hang_id = d.khach_hang_id and f.ngay {{c1::&gt;=}} d.valid_from and f.ngay {{c2::&lt;}} d.valid_to</code>	Khoảng nửa mở nên không có phiên bản nào chồng lấn.	scd sql
Test bắt buộc cho dim Type 2: <code>unique</code> trên {{c1::khach_sk}}, <code>unique_combination_of_columns</code> trên {{c2::[khach_hang_id, valid_from]}}, và <code>expression_is_true</code> cho {{c3::valid_from &lt; valid_to}}.		scd testing
Bốn cách phát hiện thay đổi cho SCD2: {{c1::so từng cột}} · {{c2::hash}} · {{c3::updated_at}} · {{c4::CDC}}.	Chỉ CDC thấy được DELETE.	scd change-detection
Bốn bẫy của hash: {{c1::NULL bị concat_ws bỏ qua}} · {{c2::thiếu separator giữa cột}} · {{c3::format số và ngày chưa chuẩn hoá}} · {{c4::đổi thứ tự cột}}.	Hai bẫy đầu làm bỏ sót thay đổi; hai bẫy sau sinh version giả.	scd hash
Áp dụng thay đổi Type 2 theo thứ tự {{c1::đóng dòng cũ}} trước, {{c2::chèn dòng mới}} sau.	Ngược lại thì dòng vừa chèn bị đóng luôn.	scd
Chi phí lưu trữ OBT tỷ lệ với {{c1::cardinality × độ rộng của cột được nhúng}}, không tỷ lệ với {{c2::số dòng fact}}.	Đo thật: cột 3 giá trị → 0.76×; cột 50k giá trị dài → 10.23×.	obt parquet
Mô hình lai: tầng {{c1::silver}} giữ star + SCD2 làm nguồn sự thật; tầng {{c2::gold}} là OBT dẹt, tái tạo được bằng <code>dbt run</code>.		obt lakehouse
Ba cách bố trí fact quanh dimension: {{c1::star}} · {{c2::snowflake}} · {{c3::OBT}}.		star-schema
Junk dimension sinh tổ hợp bằng {{c1::SELECT DISTINCT trên dữ liệu thật}}; mini-dimension sinh {{c2::toàn bộ tích Descartes}}.		junk-dimension mini-dimension
Ba điều kiện conformed: cùng {{c1::surrogate key}}, cùng {{c2::tập thuộc tính và tên cột}}, cùng {{c3::định nghĩa nghiệp vụ}}.	Điều kiện thứ ba không kiểm được bằng SQL.	conformed-dimension
Bridge table phải có cột {{c1::he_so}}, và bất biến cần test là {{c2::tổng hệ số mỗi khoá bằng 1}}.		bridge-table
Cây quyết định SCD chạy theo {{c1::từng cột một}}, không chạy cho {{c2::cả bảng}}.	Một dimension thường trộn: tên → Type 1, khu vực → Type 2, ngày mở tài khoản → Type 0.	scd
Cột đổi vì {{c1::sai}} (gõ nhầm, viết hoa lệch) thì Type 1; đổi vì {{c2::thay thật}} (chuyển vùng, đổi hạng) mới xét tiếp có ai GROUP BY theo nó không.		scd
Bus matrix: hàng là {{c1::quy trình nghiệp vụ}}, cột là {{c2::dimension}}, và giá trị nằm ở {{c3::các cột dùng chung}}.		design-process bus-matrix
